SKU,Nombre,Descripción corta,Descripción,Cantidad,Precio normal,"Requiere Calcular Iva (1=Si,0=No)",Imágenes,Título SEO,Palabra clave de SEO,Descripción SEO,Unnamed: 11
SN-82180,"Conector Spk (Sn) Emt Acero 1/2""","<strong>Referencia:</strong> 1/2""<strong>Material: </strong>Acero","Es una pieza fundamental en la instalación eléctrica que se utiliza para conectar dos tramos de tubos eléctricos EMT (Electrical Metallic Tubing). Este conector proporciona una unión sólida y segura entre los tubos, lo que es esencial para garantizar la integridad y la protección de los cables y conductores eléctricos que pasan a través de ellos.\n\n<strong>Usos Comunes:</strong>\n<ul>\n 	<li><strong>Instalaciones Eléctricas Residenciales:</strong> Se utiliza en la instalación de cables eléctricos en casas y apartamentos.</li>\n 	<li><strong>Instalaciones Comerciales:</strong> En entornos comerciales y de negocios donde se requiere una instalación eléctrica segura y confiable.</li>\n 	<li><strong>Instalaciones Industriales:</strong> En instalaciones industriales que involucran el tendido de cables eléctricos para alimentar maquinaria y equipos.</li>\n 	<li><strong>Proyectos de Construcción:</strong> En proyectos de construcción donde se requiere una solución de tuberías eléctricas.</li>\n</ul>",0,1350,1,https://electrificadoracapital.com/wp-content/uploads/2023/11/82180.png,"Conector Spk (Sn) Emt Acero 1/2""",Conector Spk Sn Emt Acero 12 Es una pieza fundamental,"Conector Spk (Sn) Emt Acero 1/2"" ofrece calidad y durabilidad. Ideal para Terminal EMT.",
SN-82130,"Conector Spk (Sn) Emt Acero 2""","<strong>Referencia:</strong> 2""<strong>Material: </strong>Acero","<p>Es una pieza fundamental en la instalación eléctrica que se utiliza para conectar dos tramos de tubos eléctricos EMT (Electrical Metallic Tubing). Este conector proporciona una unión sólida y segura entre los tubos, lo que es esencial para garantizar la integridad y la protección de los cables y conductores eléctricos que pasan a través de ellos.</p>\n<p>Usos Comunes:</p>\n<ul>\n<li>Instalaciones Eléctricas Residenciales: Se utiliza en la instalación de cables eléctricos en casas y apartamentos.</li>\n<li>Instalaciones Comerciales: En entornos comerciales y de negocios donde se requiere una instalación eléctrica segura y confiable.</li>\n<li>Instalaciones Industriales: En instalaciones industriales que involucran el tendido de cables eléctricos para alimentar maquinaria y equipos.</li>\n<li>Proyectos de Construcción: En proyectos de construcción donde se requiere una solución de tuberías eléctricas.</li>\n</ul>",0,9850,1,https://electrificadoracapital.com/wp-content/uploads/2023/11/82180.png,"Conector Spk (Sn) Emt Acero 2""",Conector Spk Sn Emt Acero 2 Es una pieza fundamental,"Conector Spk (Sn) Emt Acero 2"" ofrece calidad y durabilidad. Ideal para Terminal EMT.",105550.0
SN-82125,"Conector Spk (Sn) Emt Acero 1-1/2""","<strong>Referencia:</strong> 1-1/2""<strong>Material: </strong>Acero","Es una pieza fundamental en la instalación eléctrica que se utiliza para conectar dos tramos de tubos eléctricos EMT (Electrical Metallic Tubing). Este conector proporciona una unión sólida y segura entre los tubos, lo que es esencial para garantizar la integridad y la protección de los cables y conductores eléctricos que pasan a través de ellos.\n\nUsos Comunes:\n<ul>\n 	<li>Instalaciones Eléctricas Residenciales: Se utiliza en la instalación de cables eléctricos en casas y apartamentos.</li>\n 	<li>Instalaciones Comerciales: En entornos comerciales y de negocios donde se requiere una instalación eléctrica segura y confiable.</li>\n 	<li>Instalaciones Industriales: En instalaciones industriales que involucran el tendido de cables eléctricos para alimentar maquinaria y equipos.</li>\n 	<li>Proyectos de Construcción: En proyectos de construcción donde se requiere una solución de tuberías eléctricas.</li>\n</ul>",0,7150,1,https://electrificadoracapital.com/wp-content/uploads/2023/11/82180.png,"Conector Spk (Sn) Emt Acero 1-1/2""",Conector Spk Sn Emt Acero 112 Es una pieza fundamental,"Conector Spk (Sn) Emt Acero 1-1/2"" ofrece calidad y durabilidad. Ideal para Terminal EMT.",
SN-82185,"Conector Spk (Sn) Emt Acero 3/4""","<strong>Referencia:</strong> 3/4""<strong>Material: </strong>Acero","Es una pieza fundamental en la instalación eléctrica que se utiliza para conectar dos tramos de tubos eléctricos EMT (Electrical Metallic Tubing). Este conector proporciona una unión sólida y segura entre los tubos, lo que es esencial para garantizar la integridad y la protección de los cables y conductores eléctricos que pasan a través de ellos.\n\n<strong>Usos Comunes:</strong>\n<ul>\n 	<li><strong>Instalaciones Eléctricas Residenciales:</strong> Se utiliza en la instalación de cables eléctricos en casas y apartamentos.</li>\n 	<li><strong>Instalaciones Comerciales:</strong> En entornos comerciales y de negocios donde se requiere una instalación eléctrica segura y confiable.</li>\n 	<li><strong>Instalaciones Industriales:</strong> En instalaciones industriales que involucran el tendido de cables eléctricos para alimentar maquinaria y equipos.</li>\n 	<li><strong>Proyectos de Construcción:</strong> En proyectos de construcción donde se requiere una solución de tuberías eléctricas.</li>\n</ul>",0,1800,1,https://electrificadoracapital.com/wp-content/uploads/2023/11/82180.png,"Conector Spk (Sn) Emt Acero 3/4""",Conector Spk Sn Emt Acero 34 Es una pieza fundamental,"Conector Spk (Sn) Emt Acero 3/4"" ofrece calidad y durabilidad. Ideal para Terminal EMT.",
SN-82250,"Conector Spk (Sn) Emt Acero 3""","<strong>Referencia:</strong> 3""<strong>Material: </strong>Acero","Es una pieza fundamental en la instalación eléctrica que se utiliza para conectar dos tramos de tubos eléctricos EMT (Electrical Metallic Tubing). Este conector proporciona una unión sólida y segura entre los tubos, lo que es esencial para garantizar la integridad y la protección de los cables y conductores eléctricos que pasan a través de ellos.\n\n<strong>Usos Comunes:</strong>\n<ul>\n 	<li><strong>Instalaciones Eléctricas Residenciales:</strong> Se utiliza en la instalación de cables eléctricos en casas y apartamentos.</li>\n 	<li><strong>Instalaciones Comerciales:</strong> En entornos comerciales y de negocios donde se requiere una instalación eléctrica segura y confiable.</li>\n 	<li><strong>Instalaciones Industriales:</strong> En instalaciones industriales que involucran el tendido de cables eléctricos para alimentar maquinaria y equipos.</li>\n 	<li><strong>Proyectos de Construcción:</strong> En proyectos de construcción donde se requiere una solución de tuberías eléctricas.</li>\n</ul>",0,37950,1,https://electrificadoracapital.com/wp-content/uploads/2023/11/82180.png,"Conector Spk (Sn) Emt Acero 3""",Conector Spk Sn Emt Acero 3 Es una pieza fundamental,"Conector Spk (Sn) Emt Acero 3"" ofrece calidad y durabilidad. Ideal para Terminal EMT.",
SN-82120,"Conector Spk (Sn) Emt Acero 1-1/4""","<strong>Referencia:</strong> 1-1/4""<strong>Material: </strong>Acero","Es una pieza fundamental en la instalación eléctrica que se utiliza para conectar dos tramos de tubos eléctricos EMT (Electrical Metallic Tubing). Este conector proporciona una unión sólida y segura entre los tubos, lo que es esencial para garantizar la integridad y la protección de los cables y conductores eléctricos que pasan a través de ellos.\n\nUsos Comunes:\n<ul>\n 	<li>Instalaciones Eléctricas Residenciales: Se utiliza en la instalación de cables eléctricos en casas y apartamentos.</li>\n 	<li>Instalaciones Comerciales: En entornos comerciales y de negocios donde se requiere una instalación eléctrica segura y confiable.</li>\n 	<li>Instalaciones Industriales: En instalaciones industriales que involucran el tendido de cables eléctricos para alimentar maquinaria y equipos.</li>\n 	<li>Proyectos de Construcción: En proyectos de construcción donde se requiere una solución de tuberías eléctricas.</li>\n</ul>",0,5700,1,https://electrificadoracapital.com/wp-content/uploads/2023/11/82180.png,"Conector Spk (Sn) Emt Acero 1-1/4""",Conector Spk Sn Emt Acero 114 Es una pieza fundamental,"Conector Spk (Sn) Emt Acero 1-1/4"" ofrece calidad y durabilidad. Ideal para Terminal EMT.",
SN-82267,"Conector Spk (Sn) Emt Acero 1""","<strong>Referencia:</strong> 1""<strong>Material:</strong> Acero","Es una pieza fundamental en la instalación eléctrica que se utiliza para conectar dos tramos de tubos eléctricos EMT (Electrical Metallic Tubing). Este conector proporciona una unión sólida y segura entre los tubos, lo que es esencial para garantizar la integridad y la protección de los cables y conductores eléctricos que pasan a través de ellos.\n\n<strong>Usos Comunes:</strong>\n<ul>\n 	<li><strong>Instalaciones Eléctricas Residenciales:</strong> Se utiliza en la instalación de cables eléctricos en casas y apartamentos.</li>\n 	<li><strong>Instalaciones Comerciales:</strong> En entornos comerciales y de negocios donde se requiere una instalación eléctrica segura y confiable.</li>\n 	<li><strong>Instalaciones Industriales:</strong> En instalaciones industriales que involucran el tendido de cables eléctricos para alimentar maquinaria y equipos.</li>\n 	<li><strong>Proyectos de Construcción:</strong> En proyectos de construcción donde se requiere una solución de tuberías eléctricas.</li>\n</ul>",0,3050,1,https://electrificadoracapital.com/wp-content/uploads/2023/11/82180.png,"Conector Spk (Sn) Emt Acero 1""",Conector Spk Sn Emt Acero 1 Es una pieza fundamental,"Conector Spk (Sn) Emt Acero 1"" ofrece calidad y durabilidad. Ideal para Terminal EMT.",
TEMTA1,Terminal Emt Acerada de 1,Terminal-Conector EMT de 1\n<strong>Material:</strong> Acero\n<strong>Rosca:</strong> Conector rosca npt- tuerca nps\nTornillo de fijación,"Terminal EMT Acerada\n\nLa Terminal EMT Acerada es una pieza esencial para sistemas de conducción eléctrica que demandan calidad y confiabilidad. Fabricada con acero galvanizado de primera categoría, esta terminal ofrece resistencia a la corrosión y durabilidad para garantizar conexiones seguras a lo largo del tiempo.\n\nCon un diseño preciso y dimensiones estándar, esta terminal EMT se adapta fácilmente a conductos eléctricos del mismo tamaño, facilitando su integración en una variedad de proyectos eléctricos. Su instalación sencilla y segura la convierte en la elección perfecta para profesionales y aficionados por igual.\n\nAplicaciones del Producto:\n\nProyectos de instalación eléctrica residencial.\nAplicaciones comerciales e industriales que requieren conexiones seguras.\nSistemas de cableado en construcciones nuevas o remodelaciones.\nUtilización en interiores y exteriores.\nConexiones de conductos en sistemas de conducción eléctrica.",0,2250,1,"https://electrificadoracapital.com/wp-content/uploads/2020/04/terminalemtacerada-4.jpg, https://electrificadoracapital.com/wp-content/uploads/2020/04/terminalemtacerada.jpg, https://electrificadoracapital.com/wp-content/uploads/2020/04/terminalemtacerada-1.jpg, https://electrificadoracapital.com/wp-content/uploads/2020/04/terminalemtacerada-2.jpg, https://electrificadoracapital.com/wp-content/uploads/2020/04/terminalemtacerada-3.jpg",,Terminal Emt Acerada de 1 Terminal EMT AceradannLa Terminal EMT,,
TEMTA1/2,Terminal EMT Acerada de 1/2,Terminal-Conector EMT de 1/2<strong>\nMaterial:</strong> Acero\n<strong>Rosca:</strong> Conector rosca npt- tuerca nps\nTornillo de fijación,"Terminal EMT Acerada\n\nLa Terminal EMT Acerada es una pieza esencial para sistemas de conducción eléctrica que demandan calidad y confiabilidad. Fabricada con acero galvanizado de primera categoría, esta terminal ofrece resistencia a la corrosión y durabilidad para garantizar conexiones seguras a lo largo del tiempo.\n\nCon un diseño preciso y dimensiones estándar, esta terminal EMT se adapta fácilmente a conductos eléctricos del mismo tamaño, facilitando su integración en una variedad de proyectos eléctricos. Su instalación sencilla y segura la convierte en la elección perfecta para profesionales y aficionados por igual.\n\nAplicaciones del Producto:\n\nProyectos de instalación eléctrica residencial.\nAplicaciones comerciales e industriales que requieren conexiones seguras.\nSistemas de cableado en construcciones nuevas o remodelaciones.\nUtilización en interiores y exteriores.\nConexiones de conductos en sistemas de conducción eléctrica.",0,1050,1,https://electrificadoracapital.com/wp-content/uploads/2020/04/terminalemtacerada-4.jpg,,Terminal EMT Acerada de 12 Terminal EMT AceradannLa Terminal EMT,,
TEMTA11/2,Terminal Emt Acerada de 1 1/2,Terminal-Conector EMT de 1 1/2\n<strong>Material:</strong> Acero\n<strong>Rosca:</strong> Conector rosca npt- tuerca nps\nTornillo de fijación,"Terminal EMT Acerada\n\nLa Terminal EMT Acerada es una pieza esencial para sistemas de conducción eléctrica que demandan calidad y confiabilidad. Fabricada con acero galvanizado de primera categoría, esta terminal ofrece resistencia a la corrosión y durabilidad para garantizar conexiones seguras a lo largo del tiempo.\n\nCon un diseño preciso y dimensiones estándar, esta terminal EMT se adapta fácilmente a conductos eléctricos del mismo tamaño, facilitando su integración en una variedad de proyectos eléctricos. Su instalación sencilla y segura la convierte en la elección perfecta para profesionales y aficionados por igual.\n\nAplicaciones del Producto:\n\nProyectos de instalación eléctrica residencial.\nAplicaciones comerciales e industriales que requieren conexiones seguras.\nSistemas de cableado en construcciones nuevas o remodelaciones.\nUtilización en interiores y exteriores.\nConexiones de conductos en sistemas de conducción eléctrica.",0,4500,1,https://electrificadoracapital.com/wp-content/uploads/2020/04/terminalemtacerada-4.jpg,,Terminal Emt Acerada de 1 12 Terminal EMT AceradannLa Terminal,,
TEMTA11/4,Terminal Emt Acerada de 1 1/4,Terminal-Conector EMT de 1 1/4\n<strong>Material:</strong> Acero\n<strong>Rosca:</strong> Conector rosca npt- tuerca nps\nTornillo de fijación,"Terminal EMT Acerada\n\nLa Terminal EMT Acerada es una pieza esencial para sistemas de conducción eléctrica que demandan calidad y confiabilidad. Fabricada con acero galvanizado de primera categoría, esta terminal ofrece resistencia a la corrosión y durabilidad para garantizar conexiones seguras a lo largo del tiempo.\n\nCon un diseño preciso y dimensiones estándar, esta terminal EMT se adapta fácilmente a conductos eléctricos del mismo tamaño, facilitando su integración en una variedad de proyectos eléctricos. Su instalación sencilla y segura la convierte en la elección perfecta para profesionales y aficionados por igual.\n\nAplicaciones del Producto:\n\nProyectos de instalación eléctrica residencial.\nAplicaciones comerciales e industriales que requieren conexiones seguras.\nSistemas de cableado en construcciones nuevas o remodelaciones.\nUtilización en interiores y exteriores.\nConexiones de conductos en sistemas de conducción eléctrica.",0,3600,1,https://electrificadoracapital.com/wp-content/uploads/2020/04/terminalemtacerada-4.jpg,,Terminal Emt Acerada de 1 14 Terminal EMT AceradannLa Terminal,,
TEMTA2,Terminal Emt Acerada de 2,Terminal-Conector EMT de 2\n<strong>Material:</strong> Acero\n<strong>Rosca:</strong> Conector rosca npt- tuerca nps\nTornillo de fijación,"Terminal EMT Acerada\n\nLa Terminal EMT Acerada es una pieza esencial para sistemas de conducción eléctrica que demandan calidad y confiabilidad. Fabricada con acero galvanizado de primera categoría, esta terminal ofrece resistencia a la corrosión y durabilidad para garantizar conexiones seguras a lo largo del tiempo.\n\nCon un diseño preciso y dimensiones estándar, esta terminal EMT se adapta fácilmente a conductos eléctricos del mismo tamaño, facilitando su integración en una variedad de proyectos eléctricos. Su instalación sencilla y segura la convierte en la elección perfecta para profesionales y aficionados por igual.\n\nAplicaciones del Producto:\n\nProyectos de instalación eléctrica residencial.\nAplicaciones comerciales e industriales que requieren conexiones seguras.\nSistemas de cableado en construcciones nuevas o remodelaciones.\nUtilización en interiores y exteriores.\nConexiones de conductos en sistemas de conducción eléctrica.",0,6250,1,https://electrificadoracapital.com/wp-content/uploads/2020/04/terminalemtacerada-4.jpg,,Terminal Emt Acerada de 2 Terminal EMT AceradannLa Terminal EMT,,
TEMTA3,Terminal Emt Acerada de 3,Terminal-Conector EMT de 3\n<strong>Material:</strong> Acero\n<strong>Rosca:</strong> Conector rosca npt- tuerca nps\nTornillo de fijación,"Terminal EMT Acerada\n\nLa Terminal EMT Acerada es una pieza esencial para sistemas de conducción eléctrica que demandan calidad y confiabilidad. Fabricada con acero galvanizado de primera categoría, esta terminal ofrece resistencia a la corrosión y durabilidad para garantizar conexiones seguras a lo largo del tiempo.\n\nCon un diseño preciso y dimensiones estándar, esta terminal EMT se adapta fácilmente a conductos eléctricos del mismo tamaño, facilitando su integración en una variedad de proyectos eléctricos. Su instalación sencilla y segura la convierte en la elección perfecta para profesionales y aficionados por igual.\n\nAplicaciones del Producto:\n\nProyectos de instalación eléctrica residencial.\nAplicaciones comerciales e industriales que requieren conexiones seguras.\nSistemas de cableado en construcciones nuevas o remodelaciones.\nUtilización en interiores y exteriores.\nConexiones de conductos en sistemas de conducción eléctrica.",0,28500,1,https://electrificadoracapital.com/wp-content/uploads/2020/04/terminalemtacerada-4.jpg,,Terminal Emt Acerada de 3 Terminal EMT AceradannLa Terminal EMT,,
